Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-07-29 08:22:08,false,"New York Running","4.11","298","00:33:52","158","187","3.5","172","182","8:14","7:04","56","59","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:56.77","5","0.0"
running,2019-07-27 09:29:50,false,"New York Running","7.01","534","01:00:41","159","181","4.0","173","188","8:39","6:32","155","174","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:11.13","8","0.0"
running,2019-07-25 19:14:42,false,"New York Running","0.41","33","00:03:30.8","167","176","1.7","176","188","8:39","8:04","--","--","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-07-25 18:35:38,false,"New York Running","4.26","308","00:33:51","166","190","3.9","173","209","7:57","4:57","--","--","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.05","23","0.0"
running,2019-07-24 10:16:41,false,"New York Running","4.11","303","00:35:16","154","170","3.4","170","184","8:35","7:22","74","74","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:55.95","5","0.0"
running,2019-07-23 09:53:55,false,"New York Running","0.91","75","00:08:02.1","165","180","2.3","172","179","8:49","8:14","3","--","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-07-23 09:14:33,false,"New York Running","4.11","275","00:30:36","163","195","3.7","175","193","7:27","6:06","137","142","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:01.06","14","0.0"
running,2019-07-21 08:03:00,false,"New York Running","4.42","322","00:38:01","156","182","3.4","175","188","8:36","7:33","146","139","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:38.07","5","0.0"
running,2019-07-20 11:14:05,false,"New York Running","3.02","224","00:25:42","157","182","3.3","173","185","8:31","7:21","418","402","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.57","4","0.0"
running,2019-07-18 19:49:58,false,"New York Running","1.01","85","00:08:49.2","171","180","2.5","168","175","8:44","7:45","--","--","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.73","2","0.0"
running,2019-07-18 19:06:35,false,"New York Running","4.55","293","00:31:42","171","195","4.0","175","205","6:59","5:11","--","--","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.63","18","0.0"
running,2019-07-16 18:58:58,false,"New York Running","5.00","381","00:41:07","165","189","4.3","173","194","8:13","7:00","93","97","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.66","6","0.0"
running,2019-07-15 10:09:19,false,"New York Running","5.41","403","00:45:22","162","198","4.1","173","207","8:23","7:46","165","117","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:41.02","6","0.0"
running,2019-07-14 10:23:04,false,"New York Running","3.01","213","00:23:35","164","196","3.4","177","205","7:50","6:53","49","193","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.55","4","0.0"
running,2019-07-13 10:44:31,false,"New York Running","4.00","301","00:32:59","165","193","3.8","178","231","8:14","6:35","63","89","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.98","5","0.0"
running,2019-07-12 09:35:57,false,"New York Running","5.01","376","00:42:14","163","185","3.9","172","183","8:26","7:47","123","137","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.25","6","0.0"
running,2019-07-10 20:02:00,false,"New York Running","3.31","236","00:27:51","154","168","3.1","170","240","8:25","7:32","57","10","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:31.22","4","0.0"
running,2019-07-08 20:55:14,false,"New York Running","0.43","27","00:02:47.2","173","183","1.7","186","192","6:27","6:06","16","--","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-07-08 19:39:10,false,"New York Running","4.89","325","00:34:50","171","190","4.2","180","195","7:07","6:03","67","118","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:15.97","5","0.0"
running,2019-07-07 10:17:01,false,"New York Running","0.61","46","00:05:24.4","158","166","1.9","176","188","8:49","7:46","--","--","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-07-07 09:11:07,false,"New York Running","5.52","402","00:45:51","165","186","4.0","176","192","8:18","6:59","140","104","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:43.08","6","0.0"
running,2019-07-05 19:43:03,false,"New York Running","3.52","248","00:28:46","161","190","3.4","170","183","8:10","6:46","63","--","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:03.72","4","0.0"
running,2019-07-03 11:29:24,false,"New York Running","4.51","305","00:37:30","157","179","3.6","172","188","8:19","7:44","129","129","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:11.27","5","0.0"
